assessment_id,assessment_base_id,assessment_version,assessment_type_id,assessment_update_ts,assessment_passing_fraction
"_RuG4NTKEeWekAqisec5Cw@6","_RuG4NTKEeWekAqisec5Cw",6,7,2016-02-24 20:57:30.927,
"wqfMGChQEeasbxI54ebbeQ@1","wqfMGChQEeasbxI54ebbeQ",1,7,2016-06-01 23:30:00.965,1
"994sv_eCEeWfIgr8kiI5JQ@1","994sv_eCEeWfIgr8kiI5JQ",1,7,2016-03-31 20:55:58.101,
"SvKEHhX_Eea_RRL8X3qYPw@3","SvKEHhX_Eea_RRL8X3qYPw",3,7,2016-05-09 16:24:33.161,1
"_RuG4NTKEeWekAqisec5Cw@4","_RuG4NTKEeWekAqisec5Cw",4,7,2016-02-18 22:48:07.342,
"SvKEHhX_Eea_RRL8X3qYPw@2","SvKEHhX_Eea_RRL8X3qYPw",2,7,2016-05-09 16:24:11.372,1
"SvKEHhX_Eea_RRL8X3qYPw@5","SvKEHhX_Eea_RRL8X3qYPw",5,7,2016-05-30 22:17:14.048,1
"SvKEHhX_Eea_RRL8X3qYPw@4","SvKEHhX_Eea_RRL8X3qYPw",4,7,2016-05-09 16:25:41.912,1
"_RuG4NTKEeWekAqisec5Cw@1","_RuG4NTKEeWekAqisec5Cw",1,7,2016-02-16 16:33:19.959,
"wqfMGChQEeasbxI54ebbeQ@2","wqfMGChQEeasbxI54ebbeQ",2,7,2016-07-06 16:58:46.475,1
"_RuG4NTKEeWekAqisec5Cw@2","_RuG4NTKEeWekAqisec5Cw",2,7,2016-02-18 22:43:52.156,
"wqfMGChQEeasbxI54ebbeQ@3","wqfMGChQEeasbxI54ebbeQ",3,7,2016-07-06 20:38:41.672,1
"SvKEHhX_Eea_RRL8X3qYPw@1","SvKEHhX_Eea_RRL8X3qYPw",1,7,2016-05-09 16:01:29.963,0.8
"wrVgqihQEeasbxI54ebbeQ@1","wrVgqihQEeasbxI54ebbeQ",1,7,2016-06-01 23:30:01.054,0.8
"_RuG4NTKEeWekAqisec5Cw@3","_RuG4NTKEeWekAqisec5Cw",3,7,2016-02-18 22:47:40.417,
"_RuG4NTKEeWekAqisec5Cw@5","_RuG4NTKEeWekAqisec5Cw",5,7,2016-02-23 19:56:03.909,
