course_branch_id,course_item_id,assessment_id
"99SZyjVxEeW6RApRXdjJPw","vG7i3","_RuG4NTKEeWekAqisec5Cw@5"
"branch~2NrPvSjhEeam2xJnFSlCww","vG7i3","wrVgqihQEeasbxI54ebbeQ@1"
"99SZyjVxEeW6RApRXdjJPw","vG7i3","_RuG4NTKEeWekAqisec5Cw@2"
"branch~2NrPvSjhEeam2xJnFSlCww","gTqXT","wqfMGChQEeasbxI54ebbeQ@3"
"branch~6o3Tbxt3Eea6zxLIiAy73w","gTqXT","SvKEHhX_Eea_RRL8X3qYPw@2"
"99SZyjVxEeW6RApRXdjJPw","vG7i3","_RuG4NTKEeWekAqisec5Cw@1"
"branch~6o3Tbxt3Eea6zxLIiAy73w","gTqXT","SvKEHhX_Eea_RRL8X3qYPw@5"
"99SZyjVxEeW6RApRXdjJPw","vG7i3","_RuG4NTKEeWekAqisec5Cw@6"
"branch~2NrPvSjhEeam2xJnFSlCww","gTqXT","wqfMGChQEeasbxI54ebbeQ@2"
"branch~6o3Tbxt3Eea6zxLIiAy73w","vG7i3","994sv_eCEeWfIgr8kiI5JQ@1"
"branch~6o3Tbxt3Eea6zxLIiAy73w","gTqXT","SvKEHhX_Eea_RRL8X3qYPw@1"
"99SZyjVxEeW6RApRXdjJPw","vG7i3","_RuG4NTKEeWekAqisec5Cw@3"
"branch~2NrPvSjhEeam2xJnFSlCww","gTqXT","wqfMGChQEeasbxI54ebbeQ@1"
"branch~6o3Tbxt3Eea6zxLIiAy73w","gTqXT","SvKEHhX_Eea_RRL8X3qYPw@4"
"branch~6o3Tbxt3Eea6zxLIiAy73w","gTqXT","SvKEHhX_Eea_RRL8X3qYPw@3"
"99SZyjVxEeW6RApRXdjJPw","vG7i3","_RuG4NTKEeWekAqisec5Cw@4"
