course_item_type_id,course_item_type_desc,course_item_type_category,course_item_type_graded
10,"graded programming","programming",t
1,"lecture","lecture",f
16,"staff graded","staffGraded",t
7,"others",,
5,"quiz","quiz",f
13,"graded lti","lti",t
8,"graded peer","peer",t
3,"supplement","supplement",f
6,"exam","quiz",t
11,"ungraded programming","programming",f
12,"phased peer","peer",t
14,"ungraded lti","lti",f
4,"peer","peer",f
9,"closed peer","peer",t
15,"slideshow","slideshow",f
2,"assess open single page","quiz",f
