course_id,course_item_id,course_lesson_id,course_item_order,course_item_type_id,course_item_name,course_item_optional
"99SZyjVxEeW6RApRXdjJPw","dvhTj","Rk10Z",4,3,"0.4 Discussion Forum: Introduce Yourself",f
"99SZyjVxEeW6RApRXdjJPw","SaDbD","g9S3n",3,1,"6.4 Video Simulation: Client Demo (Friday)",f
"99SZyjVxEeW6RApRXdjJPw","LdL1I","g9S3n",7,3,"6.7 Resource: Project Retrospective - Meeting Minutes",f
"99SZyjVxEeW6RApRXdjJPw","q0yAj","mFBaV",4,12,"4.5 Assignment: Iteration Burndown Sprint 1 (Graded)",f
"99SZyjVxEeW6RApRXdjJPw","6rdPD","g9S3n",8,12,"6.8 Assignment: Personal Project Retrospective (Graded)",f
"99SZyjVxEeW6RApRXdjJPw","vILu9","g9S3n",0,1,"6.1 Video Simulation: Standup Meeting (Wednesday)",f
"99SZyjVxEeW6RApRXdjJPw","jvqt4","hiUp9",3,1,"5.4 Video Simulation: Standup Meeting (Friday)",f
"99SZyjVxEeW6RApRXdjJPw","bAOFD","g9S3n",9,1,"6.9 Congratulations on completing the Capstone",f
"99SZyjVxEeW6RApRXdjJPw","RQ3Zo","Rk10Z",6,3,"0.6 Resource: Software Product Manager Job Posting",f
"99SZyjVxEeW6RApRXdjJPw","7UTtN","1DmNT",8,12,"1.9 Assignment: Requirements Document (Graded)",f
"99SZyjVxEeW6RApRXdjJPw","5CUlS","hiUp9",10,1,"5.11 Video Simulation: Sprint Retrospective (Friday)",f
"99SZyjVxEeW6RApRXdjJPw","fFMh9","hiUp9",9,12,"5.10 Assignment: Release Burndown (Graded)",f
"99SZyjVxEeW6RApRXdjJPw","QRtNY","g9S3n",1,3,"6.2 Decision Tree: Loose Cannon",f
"99SZyjVxEeW6RApRXdjJPw","Orpha","6dUH6",7,12,"3.8 Assignment: Week 3 Release Plan (Graded)",f
"99SZyjVxEeW6RApRXdjJPw","qfUD4","1DmNT",2,3,"1.3 Decision Tree: Meeting the Client",f
"99SZyjVxEeW6RApRXdjJPw","rxVJw","6dUH6",4,3,"3.5 Email: Risk Assessment",f
"99SZyjVxEeW6RApRXdjJPw","lp9qN","mFBaV",7,3,"4.8 Exercise: Week 4 Release Planning",f
"99SZyjVxEeW6RApRXdjJPw","r9zkF","d2ajb",1,1,"2.2 Video Simulation: Risk Discussion (Wednesday)",f
"99SZyjVxEeW6RApRXdjJPw","G5Mcg","hiUp9",5,1,"5.6 Video Simulation: Backlog Refinement  (Friday)",f
"99SZyjVxEeW6RApRXdjJPw","24XUN","1DmNT",6,1,"1.7 Video Simulation: Development Team Meeting (Monday)",f
"99SZyjVxEeW6RApRXdjJPw","vG7i3","6dUH6",5,6,"3.6 Assessment: Prioritization (Graded)",f
"99SZyjVxEeW6RApRXdjJPw","mXFFQ","6dUH6",1,3,"3.2 Email: Size Estimates and Dependencies",f
"99SZyjVxEeW6RApRXdjJPw","SAE71","hiUp9",8,3,"5.9 Resource: Week 5 Project Release Plan (Proposed Solution)",f
"99SZyjVxEeW6RApRXdjJPw","NiskR","6dUH6",3,3,"3.4 Decision Tree: Prioritization Meeting",f
"99SZyjVxEeW6RApRXdjJPw","qwTwT","hiUp9",4,1,"5.5 Video Simulation: Client Demo (Friday)",f
"99SZyjVxEeW6RApRXdjJPw","0ftwF","g9S3n",5,3,"Supplemental Reading: Release Burndown Solution",f
"99SZyjVxEeW6RApRXdjJPw","2ws1e","Rk10Z",2,3,"0.2 Tutorial: Capstone Introduction",f
"99SZyjVxEeW6RApRXdjJPw","ynlyb","6dUH6",6,3,"3.7 Exercise: Week 3 Release Planning",f
