discussion_question_id,ualberta_discussions_user_id,discussion_question_title,discussion_question_details,discussion_question_context_type,course_id,course_module_id,course_item_id,discussion_forum_id,country_cd,group_id,discussion_question_created_ts,discussion_question_updated_ts
"vCsQavKxEeWqSQ7kx0rpLQ",f245a90b3b6d2ccb9442e99869ace0c969a38d21,"Hello from Saudi Arabia","<co-content><text>My name is Najla, and i'm a business analyst with 2 years of experience. I joined this specialization to get a better knowledge of business analysis and how to switch to Agile since in my company, we usually follow the waterfall methodology..</text><text>Good luck to all.</text></co-content>","forum","99SZyjVxEeW6RApRXdjJPw","","","UwqGA--HEeWTdBIkpCpI1Q","","",2016-03-25 17:48:08.474,2016-06-09 07:47:24.21
"OjohG_wcEeWpRBJSZ0Y3Bw",b526f0f4731650fe8223f59f16a1474352b0fa84,"incomprehensible","<co-content><text>If I am asked to submit again my \"user story\" in a new session, as it is happen here, I am pushed to believe this is a new type of submission I have to do.......</text><text>I am astonished by the non-contextualisation of this assignment,  I thought you were asking me to produce a new thing!! a different type of user story!!!!</text><text>I really cannot understand why you haven't explicitly said that we had to paste again the link to the user stories made in the previous session. </text><text>You can say it was clear, but think a moment how can it be clear if you create a new session? The real way is to explain the reason why you have built a new session or me, as a user/student, I am pushed to believe this is a new thing because I have just published my user stories in the previous session!!</text><text>I can't explain how annoyed I am by this type of shallowness because this is the perfect case where it will be easy to say that I am just the one who haven't understood, and not that you haven't explain what is was supposed to be explained much better. </text><text/></co-content>","item","99SZyjVxEeW6RApRXdjJPw","","ch4H9","","","",2016-04-06 17:23:07.084,2016-06-09 07:58:13.093
"teO-Rf_QEeWJIg651qnFcw",b526f0f4731650fe8223f59f16a1474352b0fa84,"Why 3.9 Resources : Week 3 Project is locked ?","<co-content><text>Why 3.9 Resources : Week 3 Project is locked ?</text><text>I cannot access to that content.......  what should I do ?</text></co-content>","item","99SZyjVxEeW6RApRXdjJPw","","sW8gK","","","",2016-04-11 10:32:37.455,2016-06-09 08:02:04.065
"NH7r_PC4EeWCWg4sBTB7QQ",4f31fe97b697a17c603a6e7face9cb64f4c59a08,"Greetings from Central Texas","<co-content><text>It has been a pleasure to take the courses leading to this Capstone, I have learned something new in every course in enjoyable way.  I look forward in learning and collaborating through the Capstone.</text><text/><text>Regards</text><text>Norma A.</text></co-content>","forum","99SZyjVxEeW6RApRXdjJPw","","","UwqGA--HEeWTdBIkpCpI1Q","","",2016-03-23 05:29:25.005,2016-06-09 07:45:23.358
"WEdHu_pCEeWGRgp2IDLuIQ",421647535a6e440d233a150f893f646fdbf173e9,"Issue with the Release Plan exercise","<co-content><text>Hi,</text><text>I'm haing some issues with the Release Plan exercise. When I open the tool I cannot see any user stories. </text><text/><text>Am I missing something here? Are there any browser specific requirements?</text><text/><text>Thanks,</text><text>Panos</text></co-content>","module","99SZyjVxEeW6RApRXdjJPw","Uf8PR","","","","",2016-04-04 08:50:56.052,2016-06-09 07:55:50.424
"kiKuoPpCEeWKUg5ak3F-gw",421647535a6e440d233a150f893f646fdbf173e9,"Issue with the Release Planning","<co-content><text>Hi,</text><text>I'm haing some issues with the Release Plan exercise. When I open the tool I cannot see any user stories or the sprints. I can just see an white screen.</text><text/><text>Am I missing something here? Are there any browser specific requirements?</text><text/><text>Thanks,</text><text>Panos</text></co-content>","forum","99SZyjVxEeW6RApRXdjJPw","","","a7dkXOVgEeWhmg4JHc-OZw","","",2016-04-04 08:52:33.12,2016-06-09 07:55:50.476
"WdMvtP8qEeWZDQ5TnbLmpw",95c793b92147f1074ad4f2d8146d611f4204e8e8,"User Stories of High Priority not incluced","<co-content><text>I think that not all high priority user stories are included in the plan of Team and other moderate priority are included (e.g. adjustable fonts). I would expect that this wuld be part of the evaluation, no? Maybe i miss something?</text></co-content>","item","99SZyjVxEeW6RApRXdjJPw","","8hQcr","","","",2016-04-10 14:41:46.539,2016-06-09 08:01:19.332
"UdUa4fQ2EeWuFQ44bDlsAw",95c793b92147f1074ad4f2d8146d611f4204e8e8,"Sequence of videos is not stored on restart","<co-content><text>I had the impression that I would have access to the same sequence of videos based on my initial choices. But this is not the case, i have to remember what I selected in order to reach again a specific video describing a specific requirement. This is the way it should work?</text></co-content>","forum","99SZyjVxEeW6RApRXdjJPw","","","a7dkXOVgEeWhmg4JHc-OZw","","",2016-03-27 16:09:44.30,2016-06-09 07:48:54.756
"YQSobgSsEea4QQ6KgOwBaQ",95c793b92147f1074ad4f2d8146d611f4204e8e8,"Next activity is locked but there are not any submissions to review","<co-content><text>Item 4.10 is locked because i have not completed with review in 4.9 but there are not any submissions to review! Please help.</text></co-content>","item","99SZyjVxEeW6RApRXdjJPw","","a3J40","","","",2016-04-17 14:55:08.996,2016-06-09 08:06:59.421
"XMeKmBF3EeaSqwpdV4Ekkw",95c793b92147f1074ad4f2d8146d611f4204e8e8,"Sprint 6 with zero effort?","<co-content><text>  I am confused with one of the questions. The velocity of sprint 3 was 16, so we expect that this will be the velocity of next sprints as well. This means that there will be 6  story points in Sprint6, why question suggests zero?  </text></co-content>","item","99SZyjVxEeW6RApRXdjJPw","","Utvpp","","","",2016-05-03 21:38:23.674,2016-06-09 08:20:10.733
