peer_assignment_id,peer_assignment_review_schema_part_id,peer_assignment_review_schema_part_option_id,peer_assignment_review_schema_part_option_text,peer_assignment_review_schema_part_option_score
"wGJvpShQEea5Nw6WU2nKtw@1","9990b547-ab7a-4618-8469-ccfeda4721a7","lng5K-P7yHK4QorEGF--xa","<co-content><text>Excellent Effort - Learner provided a complete representation of the product and included necessary details.</text></co-content>",3
"9hRB5feCEeWJoRIC9GAuIw@1","85d1392d-59b7-4a24-e12c-9ceda086b9db","No","No",0
"ZqZRCtTbEeWHOA7t0uQ0Ww@3","ef83a9aa-bb7e-44e5-898a-f5a5cf81796d","2f5adaba-a78f-4c6d-a0b6-e2d6ac64ffef","<co-content><text>Rarely</text></co-content>",1
"9voOH_eCEeWSPQpVZJn7FQ@9","9dc4712c-28ca-45fc-cc4a-7b9090a38e10","No","No",0
"wJGWByhQEea9ZhJKQvAauw@1","8cfdbd6f-240f-418d-a396-2348fdb058a9","No","No",0
"-xK13dEPEeW3igq7kvt3qw@6","365079e6-4b20-4cc9-e9e1-b36f4c418e4d","96324672-c7dc-4171-b180-68aa0b0b5010","<co-content><text>2 of the suggested user stories were removed from Sprint 3</text></co-content>",2
"8jzkN86PEeWyxApSRqwlWw@3","1a94c437-1f44-4b95-cf6c-c0f505f859a2","81470fe9-f749-4fd4-b731-e9a55b9d7f2e","<co-content><text>3 high risk-high priority user stories appear in Sprint 1</text></co-content>",3
"dn6ZfdEIEeWR0RIE1vRpDw@4","b32d6130-07e7-49ef-f76d-6628578479e4","No","No",0
"9voOH_eCEeWSPQpVZJn7FQ@6","5a46ec77-fd00-4ecc-c241-d931b7df0233","Yes","Yes",1
"dn6ZfdEIEeWR0RIE1vRpDw@6","3e231bf7-cd64-471e-a7f8-085e542ae274","f4fb4409-8f5a-4dba-98b9-8ba4e705f48f","<co-content><text>Bad</text></co-content>",1
"dGK4i9AXEeWJ8go9jrGl7Q@3","85d1392d-59b7-4a24-e12c-9ceda086b9db","Yes","Yes",1
"wL5LqChQEeaoPRIBqlhr5Q@1","b7112a15-a321-4cca-af85-9542b64995c7","Yes","Yes",1
"P3kcYs6CEeW6bA4RgCmm0Q@11","e0e554aa-ddd4-4451-9643-15c091940bc8","Yes","Yes",1
"9rsJSfeCEeWJoRIC9GAuIw@4","b90065ed-3ec0-4899-b895-2a94f0f5a187","Yes","Yes",1
"AI8CcM6REeWRcgrL75b_bQ@9","96de681e-a8d9-451d-d979-f3425fc6dad8","06b613e0-6371-4c02-d9ab-7df4101ee14c","<co-content><text>Rarely</text></co-content>",1
"9voOH_eCEeWSPQpVZJn7FQ@4","R6Fuf4nRm7w9ybZ1PhyR0c","No","No",0
"9JWR-PeCEeWcIwpe-uKM9Q@1","6e259284-46d7-43d9-ea0d-03794de8b978","No","No",0
"9rsJSfeCEeWJoRIC9GAuIw@5","1ad64563-dd56-4ce5-8a08-8d526e2c7992","No","No",0
"9hRB5feCEeWJoRIC9GAuIw@2","85d1392d-59b7-4a24-e12c-9ceda086b9db","Yes","Yes",1
"9ffhC_eCEeWkJA7vZIsK9Q@4","96de681e-a8d9-451d-d979-f3425fc6dad8","9ee8c38f-8319-466d-a0d1-141ca369b790","<co-content><text>Learner didn’t identify any issue and/or solutions</text></co-content>",0
"vwXGHChQEeaeOg6Hp9hnyw@3","BF1h6G6ATT8Q6Hq4OMge2p","Yes","Yes",1
"dn6ZfdEIEeWR0RIE1vRpDw@6","6ae0c9cc-c581-4641-fa51-d2c9c67919b8","Yes","Yes",1
"AI8CcM6REeWRcgrL75b_bQ@11","5dc1b6c3-aee5-4834-be6c-9b1fd51eb178","Yes","Yes",2
"9cdbFPeCEeWYNAoGmttnCw@3","5d48005e-49d4-4571-f3e2-aa78264afb99","No","No",0
"wTlH0ChQEeaOBAr7VGzUHw@3","d201f007-3c1a-4a49-cb67-205a2acc37e4","Yes","Yes",1
"-xK13dEPEeW3igq7kvt3qw@3","5bcc1717-2c30-4aed-c502-4b924a8e5a62","Yes","Yes",1
"em6s9NEVEeWlfA7f_IUrbw@6","a28d01b1-da29-4973-c680-683e42768daa","No","No",0
"vwXGHChQEeaeOg6Hp9hnyw@1","vNEGLD-JOaoptGVYmtvlwP","Yes","Yes",1
"-xK13dEPEeW3igq7kvt3qw@5","3b016d76-5374-4e09-92cd-fefeb005fb92","Yes","Yes",1
"P3kcYs6CEeW6bA4RgCmm0Q@7","e1f46608-d516-459a-d399-07d8ffbd6e04","Yes","Yes",1
"wIEbqihQEeaQAQovE5D5Iw@2","BlKY8xk3E7XHARXEGsuPY6","Vx7MDlIrvd5hkrK2UauPoC","<co-content><text>At least 2 criteria were provided for 1 of the user stories</text></co-content>",1
"9voOH_eCEeWSPQpVZJn7FQ@2","fde8dec7-4a31-4b3b-8219-e9b37dc5ec67","2aad8634-8970-4533-952a-5e43ec755975","<co-content><text>Excellent</text></co-content>",3
"em6s9NEVEeWlfA7f_IUrbw@3","fde8dec7-4a31-4b3b-8219-e9b37dc5ec67","6f9d5e59-b6a0-4194-d0c0-1737084a338c","<co-content><text>Good</text></co-content>",2
"em6s9NEVEeWlfA7f_IUrbw@5","f7823a36-be3b-455e-c2cd-50d776c198ab","No","No",0
"B7quoNEDEeW86A4dl3pnEQ@4","f5615126-c42e-42d6-9238-c5028e441fdd","e7de1c51-4f65-478b-de49-97ade6f00c56","<co-content><text>No ratings were provided </text></co-content>",0
"8jzkN86PEeWyxApSRqwlWw@5","1a94c437-1f44-4b95-cf6c-c0f505f859a2","81470fe9-f749-4fd4-b731-e9a55b9d7f2e","<co-content><text>3 high risk-high priority user stories appear in Sprint 1</text></co-content>",3
"AI8CcM6REeWRcgrL75b_bQ@5","5dc1b6c3-aee5-4834-be6c-9b1fd51eb178","Yes","Yes",2
"dn6ZfdEIEeWR0RIE1vRpDw@10","3e231bf7-cd64-471e-a7f8-085e542ae274","48fdd3c7-12a8-412f-b8a2-1f63603625e4","<co-content><text>Not complete</text></co-content>",0
"9rsJSfeCEeWJoRIC9GAuIw@6","c1b6a522-563b-45e0-87d8-4f21b096df7e","Yes","Yes",1
"P3kcYs6CEeW6bA4RgCmm0Q@8","e1f46608-d516-459a-d399-07d8ffbd6e04","Yes","Yes",1
"wL5LqChQEeaoPRIBqlhr5Q@2","40f90a7f-a9eb-4365-f59c-126de570b33d","49e90e66-962e-4adc-f89a-c531de125cbf","<co-content><text>All remaining high priority user stories appear in Sprint 2</text></co-content>",3
"4qyWSs6NEeWzWQ7wuWBg7Q@7","c5d2e20b-ef1a-43f0-c34a-dff68517d111","96d2f791-8dcb-4417-af65-49348bd99dba","<co-content><text>Some of the risks had reasonable contingency plans</text></co-content>",1
"9l-i1veCEeWoVw4RkdPOvQ@1","ef83a9aa-bb7e-44e5-898a-f5a5cf81796d","522e41fe-7bd3-4086-fbc5-960213845a8c","<co-content><text>Some of the time</text></co-content>",2
"dGK4i9AXEeWJ8go9jrGl7Q@7","f5816992-712c-4af5-e608-10eddf73749e","No","No",0
"wOQjKihQEeaoPRIBqlhr5Q@2","24bdcc9b-c032-4402-8f97-1c828263c0c7","No","No",0
"nqhqtdAbEeWJ8go9jrGl7Q@6","b7112a15-a321-4cca-af85-9542b64995c7","No","No",0
"wIEbqihQEeaQAQovE5D5Iw@1","BlKY8xk3E7XHARXEGsuPY6","IGnH6VFIg3Dq66gfoXeYrr","<co-content><text>At least 2 criteria were provided for 3 of the user stories</text></co-content>",3
"9voOH_eCEeWSPQpVZJn7FQ@1","a28d01b1-da29-4973-c680-683e42768daa","Yes","Yes",1
"9LQVjveCEeWJoRIC9GAuIw@1","c5d2e20b-ef1a-43f0-c34a-dff68517d111","0d18a54a-97b5-41d6-c20f-9971f3ef201a","<co-content><text>Most of the risks had reasonable contingency plans</text></co-content>",2
"em6s9NEVEeWlfA7f_IUrbw@4","632c7dae-874a-402e-edea-3ce05c3fc5d0","Yes","Yes",1
"9voOH_eCEeWSPQpVZJn7FQ@9","f7823a36-be3b-455e-c2cd-50d776c198ab","Yes","Yes",1
"dn6ZfdEIEeWR0RIE1vRpDw@11","5a54b003-0907-4259-f9f9-2e1573a7612a","No","No",0
"wJGWByhQEea9ZhJKQvAauw@1","e452af33-9bb0-4aa2-80c0-480f21e1a915","No","No",0
"vxRFFShQEeaGtw7VJ4hX6w@1","c5d2e20b-ef1a-43f0-c34a-dff68517d111","96d2f791-8dcb-4417-af65-49348bd99dba","<co-content><text>Some of the risks had reasonable contingency plans</text></co-content>",1
"wRv7mChQEeaVWgodRB5guQ@1","279aae26-0c26-4b91-98bc-6fa6865f7b56","24c6794f-245a-4706-885c-0b4fbd579480","<co-content><text>None of the suggested user stories were added to Sprint 3</text></co-content>",0
"9hRB5feCEeWJoRIC9GAuIw@2","731ed779-42fb-4a74-a9d6-11261018b2a0","52c3eb79-0858-4bed-88ec-a2fcbc42f7e7","<co-content><text>Bad</text></co-content>",1
"wIEbqihQEeaQAQovE5D5Iw@1","O2n4gBBNV0YKSvOuIwAkbk","Yes","Yes",1
"9p1IYveCEeWwOA4X7vTG_Q@2","365079e6-4b20-4cc9-e9e1-b36f4c418e4d","f11a18b4-1837-40eb-db56-70a8459890dc","<co-content><text>1 of the suggested user stories was removed from Sprint 3</text></co-content>",1
"em6s9NEVEeWlfA7f_IUrbw@2","00c7154f-e334-4802-800e-908d76a8ae4a","No","No",0
"9JWR-PeCEeWcIwpe-uKM9Q@2","8ae0dce8-688e-4646-9cb8-1713bd596bde","No","No",0
"9rsJSfeCEeWJoRIC9GAuIw@4","1ad64563-dd56-4ce5-8a08-8d526e2c7992","Yes","Yes",1
"AI8CcM6REeWRcgrL75b_bQ@7","6f178c21-4486-4778-a98f-c6342191366b","Yes","Yes",5
"9hRB5feCEeWJoRIC9GAuIw@3","731ed779-42fb-4a74-a9d6-11261018b2a0","52c3eb79-0858-4bed-88ec-a2fcbc42f7e7","<co-content><text>Bad - The interpretation identifies 1 thing that can be interpreted from the burndown</text></co-content>",1
"P3kcYs6CEeW6bA4RgCmm0Q@10","96a3451f-045c-4179-899a-c8d30459027e","No","No",0
"ZqZRCtTbEeWHOA7t0uQ0Ww@10","24bdcc9b-c032-4402-8f97-1c828263c0c7","Yes","Yes",1
"vufdjihQEeaLEw5C-qNm0w@5","8ae0dce8-688e-4646-9cb8-1713bd596bde","Yes","Yes",1
