peer_assignment_id,peer_assignment_review_schema_part_id,peer_assignment_review_schema_part_type,peer_assignment_review_schema_part_order,peer_assignment_review_schema_part_prompt,peer_assignment_review_schema_part_maximum_score
"dGK4i9AXEeWJ8go9jrGl7Q@6","b9df9ca2-0b17-4be9-97fa-76e397a1fdf8","yesNo",0,"<co-content><text>Was the iteration burndown uploaded as a JPEG, PNG, or PDF file type?</text></co-content>",1
"wTlH0ChQEeaOBAr7VGzUHw@2","9ff63e4e-58bf-4632-ff60-e611f447322a","yesNo",7,"<co-content><text>Does the learner have the total effort remaining as approx. 70 story points for sprint 2?</text></co-content>",1
"9rsJSfeCEeWJoRIC9GAuIw@2","5a54b003-0907-4259-f9f9-2e1573a7612a","yesNo",10,"<co-content><text>Does the learner clearly demonstrate that the additional story points were added at the beginning of Sprint 2?</text><text>*Should show an increase of 6 story points</text></co-content>",1
"9voOH_eCEeWSPQpVZJn7FQ@6","R6Fuf4nRm7w9ybZ1PhyR0c","yesNo",10,"<co-content><text>Does the learner clearly demonstrate that story points were <strong>removed</strong> at the beginning of Sprint 4?</text><text>*Should show an decrease of 2 story points</text></co-content>",1
"em6s9NEVEeWlfA7f_IUrbw@5","9dc4712c-28ca-45fc-cc4a-7b9090a38e10","yesNo",9,"<co-content><text>Does the learner clearly demonstrate that additional story points were added at the beginning of Sprint 3?</text><text>*Should show an increase of 2 story points</text></co-content>",1
"dGK4i9AXEeWJ8go9jrGl7Q@7","e5362de2-eb75-422d-85ce-8332f2ced35d","yesNo",3,"<co-content><text>Did the learner have about 116.75 hours of total effort remaining at the beginning of the 1st day?</text></co-content>",1
"dn6ZfdEIEeWR0RIE1vRpDw@12","3e231bf7-cd64-471e-a7f8-085e542ae274","options",0,"<co-content><text>How would you rate your peer’s interpretation? (Based on effort, and not necessarily on correctness)</text></co-content>",3
"9rsJSfeCEeWJoRIC9GAuIw@6","3e231bf7-cd64-471e-a7f8-085e542ae274","options",0,"<co-content><text>How would you rate your peer’s interpretation? (Based on effort, and not necessarily on correctness)</text></co-content>",3
"vufdjihQEeaLEw5C-qNm0w@5","0ea48669-8b1d-468a-da1e-caf62fd81e35","multiLineInput",10,"<co-content><text>Do you have any general comments about your peer’s Requirements document?</text></co-content>",
"ZqZRCtTbEeWHOA7t0uQ0Ww@2","ef83a9aa-bb7e-44e5-898a-f5a5cf81796d","options",1,"<co-content><text>Did the learner provide solutions for the issues that they pointed out?</text></co-content>",3
"wPvw6ihQEeaGtw7VJ4hX6w@1","d682cd56-300e-4641-d842-519d4bd48250","options",2,"<co-content><text>Did the learner provide reasonable contingency plans for the risks in their Risk Plan?</text></co-content>",2
"em6s9NEVEeWlfA7f_IUrbw@9","f7823a36-be3b-455e-c2cd-50d776c198ab","yesNo",1,"<co-content><text>Does the learner display the sprints along the horizontal axis?</text></co-content>",1
"em6s9NEVEeWlfA7f_IUrbw@5","00c7154f-e334-4802-800e-908d76a8ae4a","yesNo",0,"<co-content><text>Was the iteration burndown uploaded as a JPEG, PNG, or PDF file type?</text></co-content>",1
"P3kcYs6CEeW6bA4RgCmm0Q@11","e0e554aa-ddd4-4451-9643-15c091940bc8","yesNo",6,"<co-content><text>Did the learner include a user story about searching for reading material (or similar wording)?</text></co-content>",1
"wCZRVyhQEeaeOg6Hp9hnyw@2","5d48005e-49d4-4571-f3e2-aa78264afb99","yesNo",1,"<co-content><text>Do all the sprints have ~20 story points in each? (Will accept 18-19 story points.)</text></co-content>",1
"ZqZRCtTbEeWHOA7t0uQ0Ww@4","24bdcc9b-c032-4402-8f97-1c828263c0c7","yesNo",2,"<co-content><text>Did the learner identify that the development team should not self-assign all tasks upfront? </text><text>*This is because one person might finish tasks sooner than others.</text></co-content>",1
"wFPJjyhQEeaVWgodRB5guQ@1","96de681e-a8d9-451d-d979-f3425fc6dad8","options",1,"<co-content><text>Did the learner provide solutions for the issues that they pointed out?</text></co-content>",3
"wXYC7ShQEeaGtw7VJ4hX6w@2","00c7154f-e334-4802-800e-908d76a8ae4a","yesNo",0,"<co-content><text>Was the Release Burndown uploaded as a JPEG, PNG, or PDF file type?</text></co-content>",1
"9ffhC_eCEeWkJA7vZIsK9Q@3","6f178c21-4486-4778-a98f-c6342191366b","options",0,"<co-content><text>Did the learner demonstrate that they put effort into their evaluation of the iteration plan?</text></co-content>",5
"o40uFM6MEeW4gBJQzjtgDw@5","bad69d98-9b8f-4478-ae93-9d7b262568ad","yesNo",0,"<co-content><text>Did the learner complete the Requirements Technical Review?</text></co-content>",1
"dn6ZfdEIEeWR0RIE1vRpDw@11","d201f007-3c1a-4a49-cb67-205a2acc37e4","yesNo",8,"<co-content><text>Does the learner have the total effort remaining as approx. 54 story points for sprint 3?</text></co-content>",1
"9kBa5PeCEeWcIwpe-uKM9Q@5","b7112a15-a321-4cca-af85-9542b64995c7","yesNo",2,"<co-content><text>Is the Bookmarks user story prioritized above (or in the same sprint) as the Sorting material user story and the account features?</text><text>*Lisa said that she would prioritize Bookmarks over Sort Material and all user stories related to accounts.</text></co-content>",1
"wRv7mChQEeaVWgodRB5guQ@2","5bcc1717-2c30-4aed-c502-4b924a8e5a62","yesNo",4,"<co-content><text>Did the learner keep the Suggest material based on reading level user story in the backlog? (i.e., did not add it to Sprint 3)</text></co-content>",1
"9voOH_eCEeWSPQpVZJn7FQ@8","8ed85c84-05f2-4e43-a092-71288c01482d","yesNo",2,"<co-content><text>Does the learner display the total effort in story points (or similar wording) on the vertical axis?</text></co-content>",1
"wTlH0ChQEeaOBAr7VGzUHw@2","b32d6130-07e7-49ef-f76d-6628578479e4","yesNo",6,"<co-content><text>Does the learner have the total effort remaining as approx. 84 story points for sprint 1?</text></co-content>",1
"wXYC7ShQEeaGtw7VJ4hX6w@2","R6Fuf4nRm7w9ybZ1PhyR0c","yesNo",10,"<co-content><text>Does the learner clearly demonstrate that story points were <strong>removed</strong> at the beginning of Sprint 4?</text><text>*Should show an decrease of two story points</text></co-content>",1
"nqhqtdAbEeWJ8go9jrGl7Q@7","cbc5f958-c7ba-40dc-a8ff-e373d366b0bc","multiLineInput",0,"<co-content><text>Do you have any suggestions or comments for your peer?</text></co-content>",
"9voOH_eCEeWSPQpVZJn7FQ@9","5a46ec77-fd00-4ecc-c241-d931b7df0233","yesNo",3,"<co-content><text>Did the learner include the prediction line?</text></co-content>",1
"9hRB5feCEeWJoRIC9GAuIw@1","0540208b-9ad2-430e-cb2c-82b189325e8f","yesNo",6,"<co-content><text>Did the learner include a 6th day of the sprint in which the total remaining effort is zero?</text></co-content>",1
"9kBa5PeCEeWcIwpe-uKM9Q@1","b7112a15-a321-4cca-af85-9542b64995c7","yesNo",2,"<co-content><text>Is the Bookmarks user story prioritized above (or in the same sprint) as the Sorting material user story and the account features?</text><text>*Lisa said that she would prioritize Bookmarks over Sort Material and all user stories related to accounts.</text></co-content>",1
"vvT88ChQEeaLEw5C-qNm0w@2","EpSKpewugbHyfVVEYrLEYK","multiLineInput",1,"<co-content><text>Do you have any general comments, suggestions, or feedback for your peer?</text></co-content>",
"wGJvpShQEea5Nw6WU2nKtw@1","9990b547-ab7a-4618-8469-ccfeda4721a7","options",0,"<co-content><text>Did the learner demonstrate that they put effort into their wireframe?</text></co-content>",3
"9voOH_eCEeWSPQpVZJn7FQ@2","632c7dae-874a-402e-edea-3ce05c3fc5d0","yesNo",7,"<co-content><text>Does the learner display the addition of story points by either displaying work completed, or by displaying an adjustable floor?</text></co-content>",1
"9voOH_eCEeWSPQpVZJn7FQ@1","351fc057-68fc-464f-a8c8-a974ff1977ac","yesNo",6,"<co-content><text>Does the learner have the total effort remaining as approx. 38 story points for sprint 4?</text></co-content>",1
"9rsJSfeCEeWJoRIC9GAuIw@6","d201f007-3c1a-4a49-cb67-205a2acc37e4","yesNo",8,"<co-content><text>Does the learner have the total effort remaining as approx. 54 story points for sprint 3?</text></co-content>",1
"9hRB5feCEeWJoRIC9GAuIw@2","e452af33-9bb0-4aa2-80c0-480f21e1a915","yesNo",1,"<co-content><text>Did the learner include a prediction line on their iteration burndown?</text></co-content>",1
"em6s9NEVEeWlfA7f_IUrbw@12","a28d01b1-da29-4973-c680-683e42768daa","yesNo",5,"<co-content><text>Does the prediction line point to a Sprint 6 with zero effort remaining at the beginning of that sprint?</text></co-content>",1
"em6s9NEVEeWlfA7f_IUrbw@10","a66764d6-9126-4a91-debc-7cfd1fc72f49","yesNo",4,"<co-content><text>Does the prediction line begin at approx. 92 story points at the beginning of sprint 1?</text></co-content>",1
"9rsJSfeCEeWJoRIC9GAuIw@6","9ff63e4e-58bf-4632-ff60-e611f447322a","yesNo",7,"<co-content><text>Does the learner have the total effort remaining as approx. 70 story points for sprint 2?</text></co-content>",1
"em6s9NEVEeWlfA7f_IUrbw@10","a28d01b1-da29-4973-c680-683e42768daa","yesNo",5,"<co-content><text>Does the prediction line point to a Sprint 6 with zero effort remaining at the beginning of that sprint?</text></co-content>",1
"dGK4i9AXEeWJ8go9jrGl7Q@2","97813f86-15db-45db-a532-8ae903687a9f","multiLineInput",1,"<co-content><text>Do you have any response to their interpretation or have any comments, suggestions, or advice for your peer?</text></co-content>",
"wJGWByhQEea9ZhJKQvAauw@2","f5816992-712c-4af5-e608-10eddf73749e","yesNo",5,"<co-content><text>Did the learner have about 17.25 hours of total effort remaining at the beginning of day 5?</text></co-content>",1
"o40uFM6MEeW4gBJQzjtgDw@8","2zrVrbrtCSFXRc8Sj7s66H","multiLineInput",9,"<co-content><text>How could the learner make their Requirements Document more Simple?</text></co-content>",
"wTlH0ChQEeaOBAr7VGzUHw@1","1916a944-deb0-4ba1-f393-d9f1a2d04db2","multiLineInput",1,"<co-content><text>Do you have any response to their interpretation or have any comments, suggestions, or advice for your peer?</text></co-content>",
"dn6ZfdEIEeWR0RIE1vRpDw@9","9ff63e4e-58bf-4632-ff60-e611f447322a","yesNo",7,"<co-content><text>Does the learner have the total effort remaining as approx. 70 story points for sprint 2?</text></co-content>",1
"9rsJSfeCEeWJoRIC9GAuIw@2","1ad64563-dd56-4ce5-8a08-8d526e2c7992","yesNo",0,"<co-content><text>Did the learner get the correct answer as 18.4? (You may accept a rounded down answer of 18 as well)</text></co-content>",1
"9voOH_eCEeWSPQpVZJn7FQ@6","b557bab7-f065-4943-ef08-a9a5b3504dcd","yesNo",8,"<co-content><text>Does the learner clearly demonstrate that additional story points were <strong>added </strong>at the beginning of Sprint 2?</text><text>*Should show an increase of 6 story points</text></co-content>",1
"wIEbqihQEeaQAQovE5D5Iw@3","BlKY8xk3E7XHARXEGsuPY6","options",0,"<co-content><text>Did the learner include at least two <strong>acceptance criteria</strong> for each user story?</text></co-content>",5
"dGK4i9AXEeWJ8go9jrGl7Q@4","e452af33-9bb0-4aa2-80c0-480f21e1a915","yesNo",1,"<co-content><text>Did the learner include a prediction line on their iteration burndown?</text></co-content>",1
"vvT88ChQEeaLEw5C-qNm0w@3","EpSKpewugbHyfVVEYrLEYK","multiLineInput",1,"<co-content><text>Do you have any general comments, suggestions, or feedback for your peer?</text></co-content>",
"9cdbFPeCEeWYNAoGmttnCw@2","1a94c437-1f44-4b95-cf6c-c0f505f859a2","options",2,"<co-content><text>Are all the high-risk, high-priority user stories scheduled in the first sprint? (The high risk-high priority user stories were: Page Maintains Fidelity, Pictures, Connect with Remote User, Read with Audio)</text></co-content>",4
"9cdbFPeCEeWYNAoGmttnCw@3","1a94c437-1f44-4b95-cf6c-c0f505f859a2","options",2,"<co-content><text>Are all the high-risk, high-priority user stories scheduled in the first sprint? (The high risk-high priority user stories were: Page Maintains Fidelity, Pictures, Connect with Remote User, Read with Audio)</text></co-content>",4
