peer_assignment_id,peer_assignment_base_id,peer_assignment_type,peer_assignment_required_review_count,peer_assignment_passing_fraction,peer_assignment_required_reviewer_count_for_score,peer_assignment_required_wait_for_score_ms,peer_assignment_maximum_score,peer_assignment_update_ts,peer_assignment_is_mentor_graded
"9gWb5veCEeWoVw4RkdPOvQ@1","9gWb5veCEeWoVw4RkdPOvQ","phased",3,0.8,3,86400000,6,2016-03-31 20:55:55.014,f
"9gWb5veCEeWoVw4RkdPOvQ@2","9gWb5veCEeWoVw4RkdPOvQ","phased",3,0.8,3,86400000,6,2016-04-20 19:29:27.938,f
"9hRB5feCEeWJoRIC9GAuIw@2","9hRB5feCEeWJoRIC9GAuIw","phased",3,0.7,3,86400000,10,2016-04-06 19:44:38.957,f
"nqhqtdAbEeWJ8go9jrGl7Q@2","nqhqtdAbEeWJ8go9jrGl7Q","graded",3,0.8,3,86400000,6,2016-02-11 00:02:30.574,f
"wGJvpShQEea5Nw6WU2nKtw@2","wGJvpShQEea5Nw6WU2nKtw","phased",3,0.8,3,86400000,6,2016-07-06 19:35:00.063,f
"wGJvpShQEea5Nw6WU2nKtw@1","wGJvpShQEea5Nw6WU2nKtw","phased",3,0.8,3,86400000,6,2016-06-01 23:29:57.163,f
"dn6ZfdEIEeWR0RIE1vRpDw@11","dn6ZfdEIEeWR0RIE1vRpDw","phased",3,0.8,3,86400000,16,2016-05-16 16:08:23.075,f
"9voOH_eCEeWSPQpVZJn7FQ@8","9voOH_eCEeWSPQpVZJn7FQ","phased",3,0.7,3,86400000,14,2016-05-16 16:06:15.313,f
"9rsJSfeCEeWJoRIC9GAuIw@2","9rsJSfeCEeWJoRIC9GAuIw","phased",3,0.8,3,86400000,16,2016-04-15 16:21:40.02,f
"wOQjKihQEeaoPRIBqlhr5Q@2","wOQjKihQEeaoPRIBqlhr5Q","phased",3,0.65,3,86400000,9,2016-07-06 20:05:45.853,f
"vvT88ChQEeaLEw5C-qNm0w@3","vvT88ChQEeaLEw5C-qNm0w","phased",2,0.75,2,86400000,1,2016-07-11 15:35:05.419,f
"wCZRVyhQEeaeOg6Hp9hnyw@2","wCZRVyhQEeaeOg6Hp9hnyw","phased",3,0.8,3,86400000,9,2016-07-06 19:31:27.048,f
"9rsJSfeCEeWJoRIC9GAuIw@3","9rsJSfeCEeWJoRIC9GAuIw","phased",3,0.8,3,86400000,16,2016-04-25 17:23:49.359,f
"9LQVjveCEeWJoRIC9GAuIw@3","9LQVjveCEeWJoRIC9GAuIw","phased",3,0.8,3,86400000,11,2016-03-31 21:41:56.626,f
"dGK4i9AXEeWJ8go9jrGl7Q@4","dGK4i9AXEeWJ8go9jrGl7Q","phased",3,0.7,3,86400000,10,2016-03-02 21:58:47.514,f
"wVhBSyhQEeaVWgodRB5guQ@1","wVhBSyhQEeaVWgodRB5guQ","phased",3,0.75,3,86400000,8,2016-06-01 23:29:58.772,f
"9JWR-PeCEeWcIwpe-uKM9Q@2","9JWR-PeCEeWcIwpe-uKM9Q","phased",3,0.8,3,86400000,10,2016-03-31 21:08:21.279,f
"dGK4i9AXEeWJ8go9jrGl7Q@7","dGK4i9AXEeWJ8go9jrGl7Q","phased",3,0.7,3,86400000,10,2016-05-16 15:57:09.153,f
"P3kcYs6CEeW6bA4RgCmm0Q@4","P3kcYs6CEeW6bA4RgCmm0Q","closed",2,0.8,2,86400000,10,2016-02-12 17:11:55.615,f
"P3kcYs6CEeW6bA4RgCmm0Q@3","P3kcYs6CEeW6bA4RgCmm0Q","closed",2,0.8,2,86400000,10,2016-02-08 17:52:05.084,f
"em6s9NEVEeWlfA7f_IUrbw@5","em6s9NEVEeWlfA7f_IUrbw","closed",3,0.7,3,86400000,13,2016-02-25 00:02:30.493,f
