peer_comment_id,peer_submission_id,ualberta_peer_assignments_user_id,peer_comment_created_ts,peer_comment_text
"sB2SoAF4EeauAAp_SRa7YQ","JQFp4P-JEeWjZRIrkC40zw",c7e247ad51b485dab736b024c5add83730ba229a,2016-04-13 13:07:34.381,"Thanks for your comments, I will resubmit my assignment including all of your feedback.\\nGreetings!."
"6QN1g_jnEeWTZBIrc0wCDw","MhlqYPjfEeWqpApEWVJglQ",af3ed101023c8226790366d0c0a28d1a6c4ffe0f,2016-04-02 15:31:03.512,"This is a solid plan."
"RvjwfRJNEea44Qp49aJR6w","QjcWXhIyEeawWRJ2-Hqumw",39f00deb1da7b707a208da4b4248b98e8569218c,2016-05-04 23:09:39.388,"Good job. Please Review me. Thx! https://www.coursera.org/learn/software-product-management-capstone/peer/fFMh9/5-10-assignment-release-burndown-graded/review/TO0OLQ_aEea0FgrDsuIyMQ"
"hJtiHPd4EeWs9Q5ernAFuQ","YBWQFvd4EeWs9Q5ernAFuQ",cc67fdb77dae7cb3fa7d999346cbc0100f02120d,2016-03-31 19:41:09.758,"It would be nice if the tool had sorting capabilities within the various sprints."
"sfCAzwSxEeazBxIp-OtAdw","Yv9DBgSwEeaFvxKtmk5LcQ",ec48b78d9254fbb7452b1a1bf25bce46520c1c46,2016-04-17 15:33:12.243,"Great Job Wilson!\\nCould you please grade my work?"
"OOB0MzAREeabdwp3JVSF9w","QpFqZS7FEeah7Ap12GQcTQ",ef0cef692174ae2f26abc895407bcd5ace5f434e,2016-06-11 20:15:20.819,"Thanks. everyone."
"Mz3AmvRkEeWuFQ44bDlsAw","2ZYdXvHVEeWWORKcDoY1lQ",76a559aebb81b0921497a98fca185ab5e6c764ed,2016-03-27 21:38:09.826,"I think everything was there. maybe not so obviously wording. i might try to do it clearer....."
"Bz9E4RGtEeaVPQ6kCMKyuQ","sdtn_AbMEeaiUQ6wdOplXw",56e83347fa53f700912a6b4aa63db5ffc5cdd0d9,2016-05-04 04:02:32.998,"Could You please Review Mine\\n\\nhttps://www.coursera.org/learn/software-product-management-capstone/peer/6rdPD/6-8-assignment-personal-project-retrospective-graded/review/SRy31BGqEea84w5Krj7Aqw"
"EAEYfys_Eeaatw7rZVB3fw","AGrr8Ss_Eeakfw5ltszKlw",8fd65e73928febbe20858b19c330b807cdade0f2,2016-06-05 17:00:53.282,"thanks in advance for your comments"
"5M2MJyXQEeacKhJ2Eiev7Q","zjwdTiXQEeawRg6_aDBdWw",ccc4d379c854b48ecc4915e5755a208f84777861,2016-05-29 19:09:40.348,"For better reading, please use the link below, thank you in advance."
"qrdIzPiHEeWPcBKgw3iPNw","8-N4NveqEeWRJQquNiz-Jw",76a559aebb81b0921497a98fca185ab5e6c764ed,2016-04-02 04:02:07.308,"thank you guys :)"
"YBHQKAFqEeauAAp_SRa7YQ","rbDCCv_5EeWlQw7xlSHNnQ",10fec9142868ddeaf1f20b83a202ee6793ef6ec3,2016-04-13 11:25:07.132,"Many Thanks for your reviews!"
"YHH8efugEeWS4Ar9qFG8UQ","YEqXG_uYEeWlQw7xlSHNnQ",b86382f1a6ec73c30572da847142025474a7f068,2016-04-06 02:36:33.609,"Looks great."
"XEuk8flMEeWnyw45DXyCTw","o40GqfhiEeWKUg5ak3F-gw",76a559aebb81b0921497a98fca185ab5e6c764ed,2016-04-03 03:30:06.596,"Thanks guys!\\n@ david, that 3rd value is not the result. its the value for the client. its an extra column i decided to include."
