ualberta_user_id,user_join_ts,country_cd,region_cd,profile_language_cd,browser_language_cd
60dcb52274bd704b6e2dedd3d057fd8861365307,2016-02-05 00:46:14,"CL","RM","es","es-ES"
090bd9a1233d39e2537d665b7ad6cf91821529e4,2015-08-14 18:18:22,"NG","LA",,"en-US"
4f9e966ade3f31bf7d6d2274d0cd6090a217283d,2015-11-12 12:02:12,"RU","MOW","en-US","en-US"
3a9ba932d7b23237b170f89135559a36104de48a,2013-06-11 23:49:11,"AT","3","en-US","en"
d084fea979a6a6baca6070e56c76bb8097ba2505,2015-02-21 11:40:40,"IT","34",,"it-IT"
d9b4de214ed4500f1051a005e9cd7daef3d2b665,2015-04-08 20:35:43,"HU","BU","hu-HU","hu-HU"
599a8477639cc4652522d6d1a703f989727881a6,2015-07-16 03:25:59,"EG","C",,"en-US"
c8fe4aff430a9394d22ebc23437805b52b44838d,2014-01-20 22:54:18,"US","FL",,"en-US"
6b132c94c5b696838abdf35ad63540e17af045ea,2013-01-01 06:57:18,"RU","KYA","en-US","ru"
43089864f250f19c1abbaafed901537c9d8b5aba,2014-09-13 15:09:10,"CA","ON","en-US","en-US"
9e9e245a57b15ce876327408bcbcfc5cbf867608,2014-11-14 04:50:45,"US","CA",,"en-US"
de984a104f2ddae8b12a659c3c19d3ba94faecd9,2015-03-28 12:56:48,"IN","UP",,"en-US"
fc967bca946df789269c9001546c9701c73ba25b,2015-10-10 03:31:45,"US","WA","en-US","en-US"
4482ce0d085245530602ca97f1c255ecb83a8c8f,2015-11-10 20:57:53,"CA","ON","en-CA","en-US"
cad2ec25fe1ea118a27c411f6bfd318a0a15f577,2016-01-08 08:48:09,"US","AZ","zh-CN","en"
ea6c910e072512f19431c11c8f468f7370b2319c,2016-03-08 02:08:13,"US","NY","en-US","en-US"
756b74e0dc9730f94352c55611fe19389b3345d4,2012-02-21 22:45:57,"DO","01","en-US","es-ES"
13e80433f91f1934e329f99789b5d623147ef695,2013-08-19 04:16:45,"PH","00","en","en-US"
