ualberta_user_id,course_id,met_payment_condition,was_payment,was_finaid_grant,was_group_sponsored
50e2fb7791bee7fadb8a5e14dd398ebf39fbd0e7,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
39011d9b41e938a7321891ee47d6566d6717a0a3,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
3d4e37bafb183f8f9d13e227e28ecfe461ae8deb,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
2321b9f9c812aa9fac7a81cb742954078d9bc35f,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
64eb06b8131032f593ea45e927e59555bf586a9d,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
684349c730923aed5393d5105c00252266af092f,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
f849830e9c3f637b2d97337f8b089d4d9d10e5ed,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
3b090f04fb27885686db80b32453ca1b12472942,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
86d99c9470fdd53d0825490b21b2dbab7eb4c938,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
a1757e289f1ba671e3b78bdd4acf2677855a0f8b,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
0be2e5fe18bd4c9391a4c024d69ac623ff8edd53,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
27d56d20a36e5133b485bd4d08c0e77022b729d7,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
eb3949452fe3bd054de940a3a932e67f8203170e,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
ca9134e7cc214468ba9ef64cbe40a5924f4660a6,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
f4ba87f3c3e9e16929bcb550f978e13718f8d74a,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
9841ac252e036c2cc41e75d79d409eae532ade15,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
46cacea2f00c295ccb482d6c428772aedc6dd085,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
af3bf3b580f79c630319ac222e14907605242f53,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
acae244a5415df23ad0123d67b2579776b3ba7fe,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
b8080c800f3fcd8fb7da0c850eb449f2b4098ace,"99SZyjVxEeW6RApRXdjJPw",t,t,t,f
af8910869ea8d7ec07e65ffd0bc24ac9150dbbd6,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
ebc0274138fc0b8514d59e112bc735ae9521e5d6,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
821b212f621a48b0960ee662dd5664d4da0e8ae0,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
6e96348bfdc55dd5bba4f48d369a2a79472fb652,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
caa5bf017c9eb3ecf507cf7a2924cd92ac4f6202,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
817137ccf69af3d65130c3a84e64ba7f64acff7d,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
6dbbc8d2e7b7e93cd86b1de6a8b443939f9417fa,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
090bd9a1233d39e2537d665b7ad6cf91821529e4,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
dfc4a0e0454e1253fa14241b3912a07a9c3bccdd,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
