ualberta_user_id,course_grade_ts,course_grade_verified
00107734d038767fcd1e88b6e173f475545b5017,12-Mar-2016,0.9125
0035f810529cc356d016ac5697bed2b776a53b0e,02-May-2016,0.875
0082b03b07d3692d0a78f1b784fbb9b86b1abafd,27-Feb-2016,0.9125
009ec1d4f7e5cb985504393b1501dfa4b24e10dd,17-Feb-2016,0.90625
00c33da63a7cf14beb0c8957b39fe482123be41c,09-Mar-2016,0.94375
0159d1bc7495bbdd6237863ae2c7f0d3753866bb,22-Feb-2016,0.1125
01bc70d5026d3bfb9eb2c1b4556b2943cac6cba4,06-May-2016,0.3
01c033fce8e26c0b3bbdb79db7b457c6fed981d1,14-Feb-2016,0.975
01e05ed110e60e0cac67f267987414f0f7dceca7,13-Mar-2016,0.81875
027d68dc2138533e2241bf39ee6ca76bbca0a39c,25-Feb-2016,1
028c5d36d4a3eb204bf2afe587e1b74822cacd23,11-Mar-2016,0.81875
028f18bbf8cad0a286031c8cae4b53b24ba4967b,12-Mar-2016,0.975
02b1d15e1376bb0ef25e693d87780c107bf4c9c2,17-Feb-2016,0.93125
03278679a55642fb2607b90d0883ab06c670e1ca,20-Mar-2016,0.85
034f36ebd980912aae22b766c52078a0fd754221,01-Mar-2016,0.88125
039e59a33e98a672a6fd7c2d9a4ee0d6ab7de68d,06-Mar-2016,0.88125
03dbee69c8d134fd255ad4b1311d6850e3877c9c,08-May-2016,0.83125
0406926c4302db4902bb9e55c60483da470af428,14-Apr-2016,0.8375
041714c39cd29199f17de832cad1d8558e0e3f6f,01-May-2016,0.9
043e2d8ee5966d22f55b378794b37aa345cbf031,14-Mar-2016,0.95
0451d67297bf2325cf9e028126d276a9559d1d38,13-Mar-2016,0.6
04b1c07cc599f16f81f3b8a615be3bde2544a756,20-Feb-2016,0.86875
0528cbde9586b9e7a458cc489ed5b44eccb9366c,21-Feb-2016,0.975
057631466ff9b6b7b8f6ee75daedb83ca58da2cf,06-May-2016,0.3
0611758ffa2738a9b9973b61f89dfbae6655bcb9,15-Feb-2016,0.91875
065c25dac46e28e50c851d336e7363902738a8f8,16-Feb-2016,0.9875
065c7ccce3ec7578dc099dd5db9c376e63018c57,29-Apr-2016,0.3
067122811942ae2b95daf9950498b5271222df30,24-Feb-2016,0.9125
06dab4f5250321c99a0a60920c273b27e2342f73,25-Mar-2016,0.95
070be74484df9ba1ca612618c7b6f68c807ac339,20-Feb-2016,0.925
070cbdfcfe7502abf2a9a8df7b7ae2f8b95496c6,09-Mar-2016,0.9875
072bdb455307368502c629f1afd22930b4359aad,22-Feb-2016,0.9625
08e90e07793169a6227e06abf3b3ea72da4475ff,22-Mar-2016,0.9125
0904353f923e4fd8f0eab1f7e34ea9c5a0ddd7cd,14-Mar-2016,1
098bcf62d35c28e834cfc38bf55106945affc400,17-Mar-2016,0.89375
09c46458740d2198c90c41e587e049468040d3d8,28-Mar-2016,1
0a6940a5e7b9b6013f7d01f5c7697effc0fe31bb,06-Mar-2016,1
0b7e79fb16e2c916ace1c3ebf0e862a3fd12bf18,11-Mar-2016,1
0bc013411dffeccb4aff9becac70832facf426d1,07-Mar-2016,0.925
0bc34ffd854469b25b048a79bd827d10e798bcb2,22-Mar-2016,0.9875
0be2e5fe18bd4c9391a4c024d69ac623ff8edd53,13-Mar-2016,0.85
0ca94b35bf873b73e936f98e94168825f00f8320,03-Mar-2016,0.94375
0ce425f0c23c52e3c1983297e554995a2ca2c084,06-Mar-2016,1
0da4017fc524b16ed8f0ed96454176d23505553a,05-Mar-2016,0.8375
